gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1356082425	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS305620444	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Serengeti NP--Serengeti Serena Safari Lodge	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.38326	34.70306							2015-03-12T01:00Z	12	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS305620444			CC0_1_0		obsr251972			2016-11-25T05:55Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1356061385	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS305535039	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Serengeti Plains	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.84172	35.01111							2015-02-28T01:00Z	28	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS305535039			CC0_1_0		obsr199844			2016-11-25T05:54Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1355788676	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS305240052	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	KE	Buffalo Springs NR	e2e717bf-551a-4917-bdc9-4fa0f342c530	0.59119	37.65066							2015-03-21T01:00Z	21	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS305240052			CC0_1_0		obsr168035			2016-11-25T05:49Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1355284758	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS304378822	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Tarangire NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.99133	36.00014							2015-03-14T01:00Z	14	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS304378822			CC0_1_0		obsr200932			2016-11-25T05:37Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1354933959	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS303979997	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Tanzania - Serengeti NP area	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.54181	34.85413							2015-02-24T01:00Z	24	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS303979997			CC0_1_0		obsr37854			2016-11-25T05:30Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1354853008	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS303857603	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Tanzania - Lake Manyara area	e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.42672	35.82109							2015-02-20T01:00Z	20	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS303857603			CC0_1_0		obsr37854			2016-11-25T05:29Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1354241459	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS303127648	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Ngorongoro Conservation Area--Ndutu Safari Lodge	e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.02012	34.99715							2015-02-25T01:00Z	25	2	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS303127648			CC0_1_0		obsr199844			2016-11-25T05:16Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1353845346	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS311001525	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Serengeti NP (Mara and Shinyanga Provinces)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.46128	34.68384							2015-03-11T01:00Z	11	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS311001525			CC0_1_0		obsr251972			2016-11-25T05:03Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1353240702	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS301597797	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	UG	Lake Mburo NP	e2e717bf-551a-4917-bdc9-4fa0f342c530	-0.63223	30.96503							2015-03-08T01:00Z	8	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS301597797			CC0_1_0		obsr205437			2016-11-25T04:45Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
1353070501	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS301395868	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Gyps	Gyps rueppellii		SPECIES	Gyps rueppellii (A. E. Brehm, 1852)	TZ	Serengeti NP (Mara and Shinyanga Provinces)	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.46128	34.68384							2015-03-06T01:00Z	6	3	2015	2480384	2480384	HUMAN_OBSERVATION	CLO	EBIRD	OBS301395868			CC0_1_0		obsr517668			2016-11-25T04:40Z		TAXON_MATCH_FUZZY;COORDINATE_ROUNDED
