gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
330909575	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	YZERFONTEIN	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.375	18.125							1990-02-24T01:00Z	24	2	1990	5229384	5229384	HUMAN_OBSERVATION	7258	209598	209598-3-4910384		RK BROOKE	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909574	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	YZERFONTEIN	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.375	18.125							1990-03-31T02:00Z	31	3	1990	5229384	5229384	HUMAN_OBSERVATION	7258	209591	209591-3-4910139		RK BROOKE, G AVERY, P CHADWICK	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909573	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	STANFORD	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.375							1990-01-01T01:00Z	1	1	1990	5229384	5229384	HUMAN_OBSERVATION	7258	209462	209462-3-4905228		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909572	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	& AD CAPE PENINSULA	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.125	18.375							1990-01-01T01:00Z	1	1	1990	5229384	5229384	HUMAN_OBSERVATION	7258	209453	209453-3-4904590		EL BARNES	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909571	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	& 3317 BB SALDANHA	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-33.125	18.125							1990-01-27T01:00Z	27	1	1990	5229384	5229384	HUMAN_OBSERVATION	7258	209438	209438-3-4903797		PS LOCKHART	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909570	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	STANFORD	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.375							1989-12-01T01:00Z	1	12	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209312	209312-3-4899005		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909569	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-11-01T01:00Z	1	11	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209311	209311-3-4898896		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909568	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-12-01T01:00Z	1	12	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209310	209310-3-4898786		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909567	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	HERMANUS	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.125							1989-10-01T01:00Z	1	10	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209309	209309-3-4898689		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
330909566	282d0ccb-4fa0-40f9-8593-105c77e88417		Animalia	Chordata	Aves	Sphenisciformes	Spheniscidae	Spheniscus	Spheniscus demersus		SPECIES	Spheniscus demersus (Linnaeus, 1758)	ZA	STANFORD	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	-34.375	19.375							1989-10-01T01:00Z	1	10	1989	5229384	5229384	HUMAN_OBSERVATION	7258	209307	209307-3-4898534		S BARON	CC_BY_4_0					2016-08-03T15:29Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
